fluo_bin,mean_fluo,stripe_id,kon,kon_err,koff,koff_err,r,r_err
1,12539.5149215767,0,0.137725255694065,0.0181392949831781,0.798484110614219,0.18027644313058,42.9345065632707,4.36078364227507
1,12539.5149215767,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12539.5149215767,2,0.145609427286971,0.0179153756852302,0.740821535683942,0.156094015464015,36.5989605644315,3.29601989452939
1,12539.5149215767,3,0.152218419646743,0.0123823850469327,0.991345499212012,0.119854246035151,48.2243665994431,2.092524390092
1,12539.5149215767,4,0.108828760538127,0.0119241460494218,0.747577572023318,0.246118172866459,44.3978095606011,7.20006821942398
1,12539.5149215767,5,0.123961409252122,0.0156769403262623,0.720746931478977,0.206605677738326,44.5427078171476,5.42140499260547
1,12539.5149215767,6,0.125360490591728,0.0204467962483694,0.702490136369782,0.279736315178019,42.9414003936763,7.02017630319882
1,12539.5149215767,7,0.107335138891822,0.00388666385902699,0.622315892645277,0.0716484286185163,40.6783536960156,4.05563962086789
2,31519.5311936107,0,0.259104584113016,0.0228924363508465,0.760335141704197,0.161126903255247,56.1754380155598,6.64559453204463
2,31519.5311936107,1,0.290371485302343,0.063321987611089,0.836290497064074,0.199980286456778,47.2149870522171,5.2368807766579
2,31519.5311936107,2,0.303945946621635,0.0436423702298327,0.760051274912257,0.24769047924387,49.5584098893688,8.3798577476488
2,31519.5311936107,3,0.272078298243055,0.0346157675066817,0.770204208248267,0.171557279163876,53.4253603099787,6.35628664721542
2,31519.5311936107,4,0.265918891644263,0.0353077395038748,0.673523883607639,0.173218563221732,49.6890120141873,4.93511437033057
2,31519.5311936107,5,0.218320399983027,0.0367720947019745,0.7903240602171,0.184311652352466,65.418609034954,5.57275820601917
2,31519.5311936107,6,0.257312138744729,0.0240457506539167,0.797774504798435,0.13326679305508,61.3083103924601,3.55076185594889
2,31519.5311936107,7,0.232860873669487,0.020261269417186,0.574812769580946,0.0383272464111087,51.7515824289314,2.05823873454242
3,45502.2634259815,0,0.409461947968454,0.0782003392087545,0.886280303862293,0.30626377680575,64.0455941341371,9.44514383551592
3,45502.2634259815,1,0.364828424571212,0.0818105602820303,0.730651640839428,0.24824439620916,59.620877513417,11.4035964456601
3,45502.2634259815,2,0.472123947322423,0.0859842661463263,0.891240386526527,0.317800383218049,57.6708122550376,7.57854153451182
3,45502.2634259815,3,0.474898480909211,0.065648811881942,1.18986590267579,0.323854645993055,74.6617416281482,11.0004982447783
3,45502.2634259815,4,0.436630413813586,0.0608810068295048,0.736656498510524,0.182272418830571,58.9414446613793,7.00239029781697
3,45502.2634259815,5,0.401096574270645,0.0561707011037231,0.916944163696702,0.234276187763374,67.3902282873084,6.92116178502196
3,45502.2634259815,6,0.34078119728102,0.0480655838660021,0.676901546304433,0.15664826357081,60.1675016968766,3.78698048803076
3,45502.2634259815,7,0.310298606550927,0.0551818795766491,0.721201016633497,0.218174266008665,72.9791783044071,5.57744638643996
4,58145.049321716,0,0.506317917606201,0.0788961059881283,0.909014427815628,0.2102266389456,76.334479975412,5.62684459251025
4,58145.049321716,1,0.4010138144886,0.0790377530390497,0.87160519757031,0.214002698279982,77.7563309422,6.48160545667034
4,58145.049321716,2,0.59546039869057,0.0710142960427163,0.831472663031891,0.190554138076785,67.6955053193907,10.2405058886772
4,58145.049321716,3,0.575613496409491,0.064773394434708,0.895724205901122,0.189944865913631,73.8574067335559,9.13455465573742
4,58145.049321716,4,0.499780694492603,0.0489923018578868,0.804091201406775,0.0975571021297982,74.4919476937146,4.1304725286649
4,58145.049321716,5,0.483770678271194,0.0409926644465265,0.778993154023627,0.0839376186786604,70.2621756940894,2.13441295474732
4,58145.049321716,6,0.397749075499636,0.0555726822824879,0.682625384933516,0.181893851964904,77.4246205467494,8.38212532103787
4,58145.049321716,7,0.477890280705405,0.0518112370598219,0.73442878298256,0.124060651820356,68.3412603586229,3.69306669793628
5,70422.4831428139,0,0.680405719941897,0.0758083473690041,0.927771072224976,0.196692496015778,81.0570878312573,6.15027458555194
5,70422.4831428139,1,NaN,NaN,NaN,NaN,NaN,NaN
5,70422.4831428139,2,0.895109306911662,0.102691122524366,1.01973198756722,0.295454899304543,72.3409798325036,9.04748050375162
5,70422.4831428139,3,0.608952488541082,0.0489441814286866,0.836634003442279,0.0678337974467455,79.4180469045481,2.74152920119395
5,70422.4831428139,4,0.711182281651605,0.0733432660184252,0.83385142625999,0.218871007725446,76.0535345464151,7.4755065421183
5,70422.4831428139,5,0.511914257838476,0.0488520193042183,0.745004616557322,0.100396051702666,81.6789438702771,4.83175035282075
5,70422.4831428139,6,0.602330341297067,0.0807916927980564,0.828582385581295,0.154763766450766,86.8024812567976,6.11648992885339
5,70422.4831428139,7,0.647548186267704,0.1234382754034,0.724498026225705,0.230722154891112,74.4344819420452,5.52796328982001
6,83255.7416675527,0,0.792444563457051,0.0629816698334018,0.889481333230024,0.147395341498539,87.1076634523834,5.74849496811172
6,83255.7416675527,1,0.813391586152284,0.0863883271596357,0.94664319404184,0.175276971176456,87.6964950408631,6.5504266641339
6,83255.7416675527,2,0.99617052449553,0.0866007874837937,1.10261069050829,0.243694667230819,84.141839949623,11.4352087309746
6,83255.7416675527,3,0.575003505263494,0.0387384199882153,0.707930076774128,0.0887449791166998,91.9694083890159,5.05139077587821
6,83255.7416675527,4,0.883238602566749,0.135996252758869,0.866074215619387,0.128026214589296,80.1176044610488,4.60030566967315
6,83255.7416675527,5,0.524962842861706,0.0622652897486056,0.767466549690464,0.125917167579951,90.9765657553034,5.81960462300777
6,83255.7416675527,6,0.692921437930288,0.0760859079694172,0.713102862721666,0.0988892120489598,85.7873487668129,5.26478317567627
6,83255.7416675527,7,0.623988878168513,0.160203191017923,0.606631835742352,0.205872094178201,79.2571051978617,5.49018798544231
7,97055.1397443665,0,0.838162482544043,0.0927215137897817,0.778579940263692,0.141718262395402,91.9406531084699,5.44012373777248
7,97055.1397443665,1,0.649876379371605,0.0692766257918351,0.774714433873988,0.132335975016295,102.783065046107,4.16022276318267
7,97055.1397443665,2,0.891963140396853,0.0731628131342238,0.946994054365837,0.117161016425642,100.853845007662,3.3019866436745
7,97055.1397443665,3,0.843386766319803,0.086910966894243,0.723379522781578,0.121772459414437,88.276622036431,3.51317135767579
7,97055.1397443665,4,0.799007032811353,0.116014423630156,0.78566415189846,0.133543434107362,94.0720958395282,8.61948842222865
7,97055.1397443665,5,0.77654447982045,0.0671281891680096,0.698153597086121,0.145800941757975,87.8370576837682,6.2131339948518
7,97055.1397443665,6,0.839370474435331,0.0729127213338435,0.717875069857508,0.157427230502834,90.5716101580425,8.41021084919705
7,97055.1397443665,7,0.795145944989513,0.11388635280519,0.724292157124086,0.131239440202646,89.5500115794827,4.90648691544009
8,113992.755312679,0,0.932634697543495,0.072448971130319,0.713692063223827,0.107047225544795,99.8273319630351,6.03257754148931
8,113992.755312679,1,0.790431039875927,0.0707436341019876,0.669638958614431,0.0703645742645994,103.524580177315,4.88559982952537
8,113992.755312679,2,1.23782143929511,0.086623098614085,0.786021369460323,0.115874559649095,90.5416343645927,5.13904798706923
8,113992.755312679,3,0.850742233339484,0.105159146195699,0.693267713138848,0.113639152940311,105.132295308271,5.30811493160453
8,113992.755312679,4,1.0552952038588,0.155093200422254,0.642214689466851,0.150291812443777,89.1728143240731,6.95347039344085
8,113992.755312679,5,0.688862367350945,0.158722162418888,0.61566392046201,0.260702621662909,103.026520965356,12.4750247601461
8,113992.755312679,6,1.05089048653376,0.102542913170995,0.750174213564823,0.155239347521497,97.3915212918266,3.42998768107381
8,113992.755312679,7,0.831309749172087,0.0875500486896668,0.546205170921722,0.0787058186406807,91.5921086680844,2.35221907527355
9,136773.757431776,0,1.0280708359924,0.0998500195449057,0.623022460033733,0.0952985298219692,107.881617984653,5.16980023755149
9,136773.757431776,1,1.00706615611289,0.0712247473214134,0.718421679887831,0.0533662178649957,113.892437084282,1.86683024143947
9,136773.757431776,2,1.12618364365897,0.097129745980487,0.676982453108673,0.0778882146450791,103.92490602312,2.87063560788329
9,136773.757431776,3,0.765767659012935,0.130689444916282,0.457520110878409,0.0760014052348808,111.199919293431,5.38267070130692
9,136773.757431776,4,1.29839353145194,0.120463411939804,0.708432603034464,0.182204946617194,106.958702373091,11.2027425281723
9,136773.757431776,5,NaN,NaN,NaN,NaN,NaN,NaN
9,136773.757431776,6,1.08774464701387,0.159513380922318,0.510450298203051,0.104482076332544,96.6426709438965,3.98616772892412
9,136773.757431776,7,0.992783109899799,0.114506090454799,0.493723506059555,0.0588551844977085,100.381000782561,2.87219646240287
10,227054.303059001,0,1.24677968220644,0.0857241076274605,0.557294117698242,0.0827244985085406,130.022076676319,5.79522095425347
10,227054.303059001,1,1.1984217873274,0.137006953528639,0.531993550652373,0.0743948028634636,134.065670071791,7.68977161574261
10,227054.303059001,2,NaN,NaN,NaN,NaN,NaN,NaN
10,227054.303059001,3,1.03595802248451,0.0770307333554945,0.457489805747231,0.0364328164496434,127.667217173197,6.46748396528625
10,227054.303059001,4,1.13173553069945,0.0902812190298623,0.485757395935863,0.0653909036094903,120.957272239377,2.10162292974606
10,227054.303059001,5,NaN,NaN,NaN,NaN,NaN,NaN
10,227054.303059001,6,NaN,NaN,NaN,NaN,NaN,NaN
10,227054.303059001,7,1.30045634750454,0.171594972160249,0.414180991966011,0.0637637692777135,116.078074771882,4.4602372029766
